operation,classification,evidence,action
GET /api/data-migration/plans/{planid}/progress,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/data-migration/plans/{planid}/quality-report,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/data-migration/templates,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/disaster-recovery/backups,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/disaster-recovery/dashboard/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/disaster-recovery/dashboard/timeline,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/disaster-recovery/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/documents/download/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/documents/health,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/documents/{system}/{recordtype}/{recordid},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md,retain baseline until represented in openapi.full.yaml
GET /api/embedded/lineage/records/{system}/{entitytype}/{entityid},documented elsewhere,docs/superpowers/plans/2026-07-22-f3-governance-lineage-reconciliation-strict.md; docs/review/proof-cards/record-lineage.md,retain baseline until represented in openapi.full.yaml
GET /api/embedded/reconciliation/exceptions,documented elsewhere,docs/superpowers/plans/2026-05-29-reconciliation-embedded-operator-ui.md; docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md,retain baseline until represented in openapi.full.yaml
GET /api/enterprise/activity,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/enterprise/approvals,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/enterprise/deltasynccursors,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/enterprise/features/status,documented elsewhere,docs/ai/A-PLUS-IMPLEMENTATION-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/enterprise/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/enterprise/stats,documented elsewhere,docs/ai/A-PLUS-IMPLEMENTATION-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/forecast,documented elsewhere,docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/health,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/insights/strategic,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/kpis/current,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/reports/history,documented elsewhere,docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/executive/reports/latest,documented elsewhere,docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
GET /api/feature-flags,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
GET /api/feature-flags/category/{category},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/feature-flags/studio/status,documented elsewhere,docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
GET /api/feature-flags/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/ap-aging,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/approvals,documented elsewhere,docs/plans/2026-05-13-operator-promotion-spec.md; docs/plans/2026-05-13-wave2-evidence-addendum-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/ar-aging,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/cash-flow,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/finance-central/cash-position,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/consolidated,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/finance-central/dashboard,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md; docs/superpowers/plans/2026-07-29-f5b3-demo-tenant-rekey.md; docs/superpowers/specs/2026-07-29-f5b3-demo-tenant-rekey-design.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/documents,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/finance-central/gl-accounts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/finance-central/health,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/finance-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/finance-central/period-close,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/fixtures/available-systems,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/superpowers/plans/2026-07-30-f6-subproject-b-pr1.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/customers,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/customers/{id},documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/inventory,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/invoices,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/metadata,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/orders,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/orders/{id},documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/products,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/test-connection,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/fixtures/{systemid}/vendors,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/full-pipeline-demo/configurations,documented elsewhere,docs/superpowers/plans/2026-07-30-full-pipeline-demo-hardening.md; docs/superpowers/specs/2026-07-30-full-pipeline-demo-hardening-design.md,retain baseline until represented in openapi.full.yaml
GET /api/full-pipeline-demo/metrics,documented elsewhere,docs/superpowers/plans/2026-07-30-full-pipeline-demo-hardening.md; docs/superpowers/specs/2026-07-30-full-pipeline-demo-hardening-design.md,retain baseline until represented in openapi.full.yaml
GET /api/full-pipeline-demo/status/{pipelineid},documented elsewhere,docs/superpowers/plans/2026-07-30-full-pipeline-demo-hardening.md; docs/superpowers/specs/2026-07-30-full-pipeline-demo-hardening-design.md,retain baseline until represented in openapi.full.yaml
GET /api/governance/approvals,documented elsewhere,docs/CHANGELOG.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-18-hitl-approval-queue-bundle-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/governance/approvals/{id},documented elsewhere,docs/CHANGELOG.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-18-hitl-approval-queue-bundle-spec.md,retain baseline until represented in openapi.full.yaml
GET /api/governance/dlp-pattern-metadata,documented elsewhere,docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md; docs/review/proof-cards/dlp-service.md,retain baseline until represented in openapi.full.yaml
GET /api/governance/loop-detections,documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-06-09-audit-remediation-plan.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md,retain baseline until represented in openapi.full.yaml
GET /api/governance/ownership-rejections,documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-06-09-audit-remediation-plan.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md,retain baseline until represented in openapi.full.yaml
GET /api/help/audiences,documented elsewhere,docs/superpowers/plans/2026-06-12-architecture-knowledge-assistant-dashboard-plan.md,retain baseline until represented in openapi.full.yaml
GET /api/help/session/{sessionid},documented elsewhere,docs/superpowers/plans/2026-07-05-repo-review-remediation.md,retain baseline until represented in openapi.full.yaml
GET /api/help/status,documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md; docs/developer/DEVELOPER_GUIDE.md; docs/features/help-chat-system.md,retain baseline until represented in openapi.full.yaml
GET /api/hubspot/companies,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/companies/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/contacts,documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-05-27-pr-13c-deferred-scope-followups.md; docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/hubspot/contacts/{id},documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-05-27-pr-13c-deferred-scope-followups.md; docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/hubspot/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/deals,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/deals/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/pipelines/deals,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/pipelines/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/hubspot/tickets/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/identity,documented elsewhere,docs/SESSION-HANDOFF-2026-08-15.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md; docs/superpowers/plans/2026-07-26-f5-demo-facing-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/installer-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/installer-central/distance,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/installer-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/installer-central/installers/locations,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/installer-central/installers/{id}/availability,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/integrations/api/integrations/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/integrations/api/integrations/{id}/mappings,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/integrations/api/integrations/{id}/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/integrations/api/integrations/{id}/status/forced-retries/{operationid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/integrations/api/integrations/{id}/webhooks,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/integrations/{id}/mappings,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/integrations/{id}/webhooks,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/inventory-central/alerts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/cycle-counts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/cycle-counts/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/metrics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/movements,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/products,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/products/sku/{sku},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/products/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/reorder-suggestions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/stock,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/stock/{productid}/{warehouseid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/utilization,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/valuation,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/warehouses,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/inventory-central/warehouses/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/lineage/records/{system}/{entitytype}/{entityid},documented elsewhere,docs/review/A_GRADE_EVIDENCE_CROSSWALK.md; docs/strategic_review_deliverables/SQUIRE_PILOT_READINESS.md; docs/superpowers/plans/2026-05-23-parked-post-demo-tier-b-work.md,retain baseline until represented in openapi.full.yaml
GET /api/mappings/templates,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/DEVELOPER_GUIDE.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
GET /api/mappings/templates/export/all,documented elsewhere,docs/integrations/implementation.md; docs/integrations/mapping-center.md,retain baseline until represented in openapi.full.yaml
GET /api/mappings/templates/{key},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/DEVELOPER_GUIDE.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
GET /api/mcp/policies,documented elsewhere,docs/CHANGELOG.md; docs/MCP-USER-SETTINGS-GUIDE.md; docs/api/API-DOCUMENTATION.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/conflicts,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/entities,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/entities/{id},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/entities/{id}/sources,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/adjustments,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/06-ai-field-mapping-editor.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/history,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/patterns,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/MDM-TUTORIAL.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/statistics,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/stats/{fieldname},documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/feedback/top-conflicts,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/rules,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/statistics,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/MDM-TUTORIAL.md,retain baseline until represented in openapi.full.yaml
GET /api/mdm/sync/pending,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/metrics,documented elsewhere,docs/CHANGELOG.md; docs/SESSION-HANDOFF-2026-08-12.md; docs/SESSION-HANDOFF-2026-08-13.md,retain baseline until represented in openapi.full.yaml
GET /api/metrics/review,documented elsewhere,docs/guides/SECURITY-AND-RATE-LIMITING.md; docs/review/2026-09-12-maintenance-ioredis.md; docs/review/route-tenant-coverage.md,retain baseline until represented in openapi.full.yaml
GET /api/nl-action-gate/pending,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/analytics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/credit-memos,documented elsewhere,docs/tutorials/NL-ACTION-GATE-TUTORIAL.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/dashboard,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/disputes,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/dunning/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/dunning/entries,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/dunning/entries/{entryid},documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/dunning/schedules,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/dunning/schedules/{scheduleid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/dunning/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/export/transactions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/accounts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/accounts/{accountid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/batches,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/batches/{batchid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/gl/journal-entries,documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-31-f6-pr4-stage-1-identity-actor-migration.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/gl/journal-entries/{entryid},documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-31-f6-pr4-stage-1-identity-actor-migration.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/gl/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/health,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/invoices,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/invoices/statistics,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/invoices/{invoiceid},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/processors,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payment-central/reconciliation/reports/{reportid},documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/payment-central/transactions,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
GET /api/payout-central/1099/{affiliateid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payout-central/commissions,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/payout-central/dashboard,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payout-central/health,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/payout-central/history/{affiliateid},documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
GET /api/payout-central/periods,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
GET /api/persistence/health,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
GET /api/persistence/sessions/{sessionid}/workflows,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
GET /api/persistence/templates,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
GET /api/persistence/templates/{id},documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
GET /api/persistence/workflows/{id},documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
